"Tip izvještaja";Opis;"Velikih porcija";"Malih porcija";Ćevapa
"PO RESTORANIMA";asdasd;9774;2443;109955
"PO RESTORANIMA";gsdfs;7944;1986;89370
"PO RESTORANIMA";sdfs;7944;1986;89370
"PO RESTORANIMA";"Restoran 1";9774;2443;109955
"PO RESTORANIMA";UKUPNO;35436;8858;398650
"PO PERIFERIJI";Periferija;15888;3972;178740
"PO PERIFERIJI";Centar;19548;4886;219910
"PO PERIFERIJI";UKUPNO;35436;8858;398650
VIKENDOM;asdasd;3224;806;36270
VIKENDOM;gsdfs;2704;676;30420
VIKENDOM;sdfs;2704;676;30420
VIKENDOM;"Restoran 1";3224;806;36270
VIKENDOM;UKUPNO;11856;2964;133380
"RADNIM DANOM";asdasd;6550;1637;73685
"RADNIM DANOM";gsdfs;5240;1310;58950
"RADNIM DANOM";sdfs;5240;1310;58950
"RADNIM DANOM";"Restoran 1";6550;1637;73685
"RADNIM DANOM";UKUPNO;23580;5894;265270
DOSTAVA;asdasd;4887;1221;54975
DOSTAVA;gsdfs;3972;993;44685
DOSTAVA;sdfs;3972;993;44685
DOSTAVA;"Restoran 1";4887;1221;54975
DOSTAVA;UKUPNO;17718;4428;199320
"U RESTORANU";asdasd;4887;1222;54980
"U RESTORANU";gsdfs;3972;993;44685
"U RESTORANU";sdfs;3972;993;44685
"U RESTORANU";"Restoran 1";4887;1222;54980
"U RESTORANU";UKUPNO;17718;4430;199330
"RADNIM DANOM";"Velikih porcija";35436;0;354360
"RADNIM DANOM";"Malih porcija";0;8858;44290
"RADNIM DANOM";UKUPNO;35436;8858;398650
